premise,date,treatment,kwh,gp_1,gp_2,gp_3,gp_4,tempf
1,09/29/2021,0,.2800506,.2989282,.2929462,.3168941,.320048,61.31682
1,09/30/2021,0,.2813246,.3076307,.2970132,.3141139,.3261819,65.39091
1,10/01/2021,0,.2502804,.3122089,.3001364,.3273107,.329358,65.69432
1,10/02/2021,0,.2763292,.3329794,.3140907,.3332081,.3293767,65.18364
1,10/03/2021,0,.2926391,.3530983,.3298073,.3540241,.3334563,66.66659
1,10/04/2021,0,.2952251,.3212452,.3221008,.3448976,.339983,65.14023
1,10/05/2021,0,.2915292,.3051133,.3019302,.3127344,.3137116,60.02546
1,10/06/2021,0,.2745072,.3034396,.2967696,.3186568,.3073186,59.68864
1,10/07/2021,0,.2894442,.3113199,.301393,.3158012,.322887,58.29364
1,10/08/2021,0,.3001364,.3026008,.3039221,.3044697,.3157273,58.65614
1,10/09/2021,0,.284566,.3199759,.2953857,.3132862,.3092018,60.67432
1,10/10/2021,0,.3095284,.3353379,.3091501,.3094211,.3117568,59.48886
1,10/11/2021,0,.2883996,.3181969,.3144886,.319485,.3095852,59.13773
1,10/12/2021,0,.3141589,.3013642,.3142304,.3106158,.3224977,59.03114
1,10/13/2021,0,.3183661,.3230315,.3132515,.3167295,.3240376,55.61386
1,10/14/2021,0,.32494,.3107312,.307992,.3015257,.3220893,59.24955
1,10/15/2021,0,.3116874,.2922128,.2984338,.3080779,.3218814,62.65023
1,10/16/2021,0,.3064185,.3087448,.3069322,.3113646,.3094783,63.80204
1,10/17/2021,0,.3109049,.3544299,.3184891,.3180433,.3235593,57.84909
1,10/18/2021,0,.3124792,.3188222,.322285,.3263132,.3208264,55.84659
1,10/19/2021,0,.3234473,.3146228,.3287792,.3197836,.328221,56.49614
1,10/20/2021,0,.3238351,.3281575,.3283767,.3257183,.3197663,60.41091
1,10/21/2021,0,.3208895,.314051,.3116078,.3175948,.3122923,64.19341
1,10/22/2021,0,.3140045,.3105248,.3057878,.3079599,.315093,60.70068
1,10/23/2021,0,.3037279,.3236329,.3212692,.3115188,.3178538,59.76727
1,10/24/2021,0,.3796659,.385217,.35,.3531342,.331358,60.75614
1,10/25/2021,0,.3343984,.3301179,.3212073,.328132,.3181105,58.65841
1,10/26/2021,0,.3326262,.3145274,.3239044,.3230325,.3169197,58.795
1,10/27/2021,0,.3153005,.304664,.3131818,.3101608,.3056116,61.81
1,10/28/2021,0,.3035611,.3097383,.3087175,.3192957,.3153032,64.13182
1,10/29/2021,0,.313004,.3051089,.3088015,.3037409,.3186507,61.72727
1,10/30/2021,0,.3271484,.3298801,.3108557,.3125772,.3226401,58.98727
1,10/31/2021,0,.3547319,.3548878,.3243503,.3279194,.3242978,58.91841
1,11/01/2021,0,.3534416,.3318614,.3294759,.3357746,.3424973,60.62023
1,11/02/2021,0,.3254213,.3198738,.3146298,.3188868,.3263479,61.70613
1,11/03/2021,0,.3214076,.315504,.3098803,.3205984,.3108741,60.97591
1,11/04/2021,0,.3004723,.3081181,.32019,.318546,.3193394,60.96159
1,11/05/2021,0,.3269683,.3212931,.3264028,.3212645,.3127421,57.07455
1,11/06/2021,0,.3525032,.3408163,.3319481,.327271,.3303006,57.58727
1,11/07/2021,0,.3470947,.376205,.3493808,.3402944,.3348856,55.38432
1,11/08/2021,0,.3718275,.3726946,.3556303,.3513943,.3464589,54.74136
1,11/09/2021,0,.3501275,.3480696,.3501613,.3458299,.3461877,58.24955
1,11/10/2021,0,.336322,.316001,.3197754,.3218275,.3193345,59.95045
1,11/11/2021,0,.357481,.3297244,.3199194,.3362878,.3336438,60.70409
1,11/12/2021,0,.3603482,.3119716,.3121237,.3223737,.320552,60.83182
1,11/13/2021,0,.3133964,.3273662,.3211401,.3284469,.3214868,60.34273
1,11/14/2021,0,.3401127,.3527474,.3285682,.344917,.3314797,59.7475
1,11/15/2021,0,.3562672,.3335072,.3365417,.3460631,.3527764,56.595
1,11/16/2021,0,.34469,.3319021,.3318828,.3322828,.3288011,57.13091
1,11/17/2021,0,.3718993,.3345398,.3263277,.3385767,.3316399,56.66727
1,11/18/2021,0,.3636487,.3373074,.3485887,.3427222,.3305624,54.43727
1,11/19/2021,0,.3535338,.3269066,.3362456,.3463956,.3405509,56.88705
1,11/20/2021,0,.349212,.3337787,.335694,.3315119,.3238504,57.29841
1,11/21/2021,0,.3530997,.3879308,.3444586,.3467323,.3276494,58.53704
1,11/22/2021,0,.3417041,.3376726,.3372556,.3329023,.3440969,55.91545
1,11/23/2021,0,.3541584,.3471929,.3472683,.3469124,.3324428,54.55182
1,11/24/2021,0,.365669,.3674638,.3501489,.3566793,.3479823,54.36613
1,11/25/2021,0,.3743731,.395557,.3789414,.3636726,.3611982,54.46977
1,11/26/2021,0,.351222,.3511547,.3431074,.3472722,.3209488,54.53818
1,11/27/2021,0,.3532716,.3506028,.3371299,.336833,.3147528,56.08636
1,11/28/2021,0,.3593166,.3767639,.3522691,.3454867,.3338158,57.1025
1,11/29/2021,0,.3447945,.3520475,.3367859,.3414357,.3423774,55.985
1,11/30/2021,0,.3220706,.3382006,.3318438,.3435322,.341257,56.73773
1,12/01/2021,0,.3301285,.3426004,.3413505,.3453472,.3280888,58.39114
1,12/02/2021,0,.3274237,.3358108,.3318935,.3552836,.337894,54.09137
1,12/03/2021,0,.3690134,.3598389,.3581353,.3547992,.3475528,53.53136
1,12/04/2021,0,.3717956,.380605,.3535717,.365708,.3536976,53.69
1,12/05/2021,0,.390533,.3972342,.3803642,.3732373,.358997,52.54818
1,12/06/2021,0,.3902367,.3968998,.3984031,.3879918,.3827299,51.55636
1,12/07/2021,0,.387437,.3611836,.3549694,.370671,.3583661,54.04523
1,12/08/2021,0,.3795932,.3796818,.3691616,.383807,.3719398,53.51136
1,12/09/2021,0,.388751,.3829809,.3763949,.3709049,.3691922,52.17318
1,12/10/2021,0,.4276013,.3929921,.3928793,.3808785,.384975,47.99614
1,12/11/2021,0,.4251116,.4295816,.4120112,.3956296,.3884825,47.2775
1,12/12/2021,0,.4967494,.4709983,.4523059,.4368339,.4213534,50.62682
1,12/13/2021,0,.4709182,.4328413,.4238818,.4252437,.420599,52.53955
1,12/14/2021,0,.4846606,.4329799,.4346717,.4311903,.4224053,46.94773
1,12/15/2021,0,.4832612,.4394358,.4528241,.4384634,.4314636,48.575
1,12/16/2021,0,.4363533,.417819,.4034345,.411717,.3950498,51.28114
1,12/17/2021,0,.4289227,.4243532,.4221589,.4130844,.4056087,47.06796
1,12/18/2021,0,.4467687,.4561796,.4561737,.4356275,.4196046,45.59614
1,12/19/2021,0,.4498602,.48818,.4754769,.4430303,.4352075,44.76591
1,12/20/2021,0,.4012043,.4424726,.4594896,.4331898,.4265743,48.2625
1,12/21/2021,0,.3748278,.4476447,.4588754,.4316371,.4303234,47.30023
1,12/22/2021,0,.3984972,.4452254,.4490448,.4187276,.4249119,50.80477
1,12/23/2021,0,.4116217,.4090369,.4141354,.399697,.4066096,55.36546
1,12/24/2021,0,.3827734,.4320524,.4302675,.3874322,.4295118,51.97864
1,12/25/2021,0,.3970662,.447621,.4595339,.4096852,.4209509,49.745
1,12/26/2021,0,.4360047,.4829481,.4715208,.4270281,.4203416,47.20364
1,12/27/2021,0,.4648294,.4497323,.4682869,.4166355,.4383394,47.39614
1,12/28/2021,0,.4562713,.4741669,.482782,.4513912,.4330646,45.95795
1,12/29/2021,0,.4299962,.4585869,.4668463,.4415534,.4436343,47.35682
1,12/30/2021,0,.412612,.4449811,.4386009,.4156134,.4181406,47.58295
1,12/31/2021,0,.4455148,.4705353,.4720502,.4382545,.4208499,48.64137
1,01/01/2022,0,.4452303,.5054212,.4659528,.4503865,.4112952,44.3125
1,01/02/2022,0,.4544169,.4937242,.4703489,.4563391,.4200779,44.69068
1,01/03/2022,0,.4423258,.448546,.4666741,.4399248,.4495522,50.02159
1,01/04/2022,0,.4161282,.404556,.407391,.4046138,.3912224,52.48818
1,01/05/2022,0,.3866131,.399948,.3945817,.3968567,.3785999,54.11364
1,01/06/2022,0,.365265,.3868244,.3972463,.3891041,.3742771,53.40727
1,01/07/2022,0,.4133734,.3857482,.4092407,.4083125,.3767689,52.14909
1,01/08/2022,0,.4230177,.4335916,.4127822,.4035243,.3913751,49.81182
1,01/09/2022,0,.4640641,.4410319,.426716,.4237484,.4032348,49.76091
1,01/10/2022,0,.4302258,.3883701,.3880897,.3963762,.390062,52.40932
1,01/11/2022,0,.390766,.3742188,.3871827,.3881846,.3871202,51.94682
1,01/12/2022,0,.3956706,.379522,.3776293,.3828487,.3760083,52.60273
1,01/13/2022,0,.3829919,.3930052,.3873864,.3874463,.3844825,51.78727
1,01/14/2022,0,.3708885,.3841812,.3965433,.3785363,.3712564,51.77159
1,01/15/2022,0,.4061838,.3960404,.3965617,.3773609,.3614039,53.65591
1,01/16/2022,0,.3678755,.4064544,.3773585,.365349,.3655159,54.35659
1,01/17/2022,0,.3978755,.3871661,.3844159,.3914849,.3733745,52.74614
1,01/18/2022,0,.3888322,.3905143,.3994951,.3879036,.375843,50.76659
1,01/19/2022,0,.3740231,.3905124,.3855308,.3830877,.3691257,50.41114
1,01/20/2022,0,.3677479,.3884167,.3876786,.3779989,.3557119,50.66864
1,01/21/2022,0,.3417063,.384342,.3636509,.3648449,.3440829,55.33227
1,01/22/2022,0,.3462091,.3737234,.3615744,.3633685,.3398447,56.94659
1,01/23/2022,0,.3911768,.39081,.3881128,.3780849,.352621,51.47523
1,01/24/2022,0,.3767806,.3863023,.3962511,.3898081,.3596933,49.54682
1,01/25/2022,0,.3586432,.3796448,.3903902,.3953516,.3664276,49.00614
1,01/26/2022,0,.3475509,.3789988,.3736791,.3870494,.3682958,49.44636
1,01/27/2022,0,.3830543,.3798682,.3700933,.3742616,.361643,50.87523
1,01/28/2022,0,.4103899,.3739214,.3708242,.37894,.3572951,51.97159
1,01/29/2022,0,.3966612,.4038798,.3734208,.3636119,.346802,50.9275
1,01/30/2022,0,.4076909,.412801,.390227,.3950346,.3580801,49.80841
1,01/31/2022,0,.4494128,.3826218,.3860703,.3994363,.3661901,50.2625
1,02/01/2022,0,.4240668,.3881848,.3838013,.3947102,.3559072,52.31614
1,02/02/2022,0,.4202817,.3797144,.3675491,.3699476,.3649783,54.36886
1,02/03/2022,0,.3740535,.3797079,.3721845,.3793949,.3665107,49.85932
1,02/04/2022,0,.370425,.3619946,.3770871,.3689559,.3575203,50.54477
1,02/05/2022,0,.3560429,.3879463,.37537,.3786262,.3548578,50.58864
1,02/06/2022,0,.4034154,.3925968,.3727534,.3743392,.3511578,50.72205
1,02/07/2022,0,.3401162,.3559202,.3779637,.3641577,.3451769,51.25954
1,02/08/2022,0,.3397771,.3576171,.3572153,.3643479,.3403835,54.18227
1,02/09/2022,0,.3140896,.3439469,.3425446,.3392442,.3321831,59.52091
1,02/10/2022,0,.345685,.3273116,.3235649,.3345613,.328328,62.2125
1,02/11/2022,0,.318117,.3203283,.3263361,.3151484,.3052907,59.32659
1,02/12/2022,0,.3286183,.3307468,.3318235,.3278842,.3169483,59.49205
1,02/13/2022,0,.3445063,.3639474,.3358045,.3352633,.3142095,56.48727
1,02/14/2022,0,.36015,.3597059,.3645808,.3592345,.3420993,51.48455
1,02/15/2022,0,.365035,.3647428,.3734301,.3604753,.3460641,52.31205
1,02/16/2022,0,.3250027,.351508,.3556987,.3539909,.333205,55.48795
1,02/17/2022,0,.2990437,.3406606,.3246623,.3274988,.3285948,55.48568
1,02/18/2022,0,.3360924,.3351923,.3297403,.3251667,.3315502,52.39114
1,02/19/2022,0,.3236682,.3635627,.3364417,.3330108,.3286832,53.67136
1,02/20/2022,0,.3444438,.3807339,.3598659,.360581,.3376538,50.77613
1,02/21/2022,0,.3677926,.394611,.3808779,.3742707,.3648248,49.71773
1,02/22/2022,0,.3654218,.3968136,.3951809,.3816403,.3851469,46.62932
1,02/23/2022,0,.3974576,.4084936,.4104938,.4047872,.3755112,45.31909
1,02/24/2022,0,.3753535,.4070104,.3968827,.4012317,.3968587,45.27477
1,02/25/2022,0,.3646518,.3796754,.3918105,.3770643,.3755306,46.86477
1,02/26/2022,0,.3579683,.4237698,.4049597,.3873684,.3800314,49.24545
1,02/27/2022,0,.3603274,.3785628,.3619273,.3614135,.3435526,54.92068
1,02/28/2022,0,.3238939,.3402957,.3346234,.3459086,.3390723,57.05614
1,03/01/2022,0,.3175696,.338356,.3201493,.3370503,.325371,56.89591
1,03/02/2022,0,.320553,.3344704,.320258,.338454,.3275947,55.31568
1,03/03/2022,0,.3474015,.3468138,.3608886,.3568256,.3551174,52.80159
1,03/04/2022,0,.352778,.3486592,.3615645,.3452684,.3606728,51.45955
1,03/05/2022,0,.3988569,.4011202,.3677686,.3687342,.3636326,49.01545
1,03/06/2022,0,.3795001,.4009903,.3845692,.360771,.3612731,48.87932
1,03/07/2022,0,.3420038,.3607394,.3520325,.3601037,.3563298,52.39182
1,03/08/2022,0,.3466293,.3420007,.3358208,.3384016,.3322071,54.40705
1,03/09/2022,0,.3279285,.3403938,.3323204,.3414427,.3311164,52.51659
1,03/10/2022,0,.3200223,.3433445,.3267248,.3335077,.3393066,54.11705
1,03/11/2022,0,.3113961,.332144,.3417155,.3367221,.332014,53.41364
1,03/12/2022,0,.3118663,.3537163,.3528739,.3545051,.3398213,50.905
1,03/13/2022,0,.3327096,.3528683,.3552137,.3386058,.3364353,55.08482
1,03/14/2022,0,.3350198,.3329173,.338771,.345746,.3328897,54.74614
1,03/15/2022,0,.3228646,.3198586,.3204897,.3318844,.3267072,57.22205
1,03/16/2022,0,.3060143,.3211408,.3203191,.3193716,.3210213,54.29955
1,03/17/2022,0,.3325521,.3228683,.3218789,.3285462,.336028,53.36023
1,03/18/2022,0,.3493726,.3294851,.3251364,.3260298,.3267039,53.76091
